AGENCY,COUNTY,ORI
HECTOR PD,RENVILLE,MN0650200
HENDERSON PD,SIBLEY,MN0720500
HENDRICKS PD,LINCOLN,MN0410200
HENNING PD,OTTER TAIL,MN0560600
HERMAN PD,GRANT,MN0260400
HERMANTOWN PD,ST. LOUIS,MN0691700
HERON LAKE PD,JACKSON,MN0320300
HIBBING PD,ST. LOUIS,MN0691000
HIGHWAY PATROL RADIO,N/A,MNMHP0100
HIGHWAY PATROL CAPITOL SECURITY DISTRICT,N/A,MNMHP1300
HIGHWAY PATROL,N/A,MNMHP0700
HIGHWAY PATROL,N/A,MNMHP0800
HIGHWAY PATROL,N/A,MNMHP1100
HIGHWAY PATROL,N/A,MNMHP1400
HIGHWAY PATROL,N/A,MNMHP0500
HIGHWAY PATROL,N/A,MNMHP0400
HIGHWAY PATROL,N/A,MNMHP1200
HIGHWAY PATROL,N/A,MNMHP0300
HIGHWAY PATROL,N/A,MNMHP0200
HIGHWAY PATROL,N/A,MNMHP0600
HIGHWAY PATROL,N/A,MNMHP0900
HIGHWAY PATROL,N/A,MNMHP1000
HILLTOP PD,ANOKA,MN0021400
HINCKLEY PD,PINE,MN0580300
HOFFMAN PD,GRANT,MN0260500
HOKAH PD,HOUSTON,MN0280500
HOPKINS PD,HENNEPIN,MN0270900
HOUSTON PD,HOUSTON,MN0280200
HOWARD LAKE PD,WRIGHT,MN0860400
HOYT LAKES PD,ST. LOUIS,MN0691100
HUGO PD,WASHINGTON,MN0821200
HUTCHINSON PD,MCLEOD,MN0430200
INTERNATIONAL FALLS PD,KOOCHICHING,MN0360100
INVER GROVE HEIGHTS PD,DAKOTA,MN0190900
IONA PD,MURRAY,MN0510500
IRONTON PD,CROW WING,MN0180900
ISANTI PD,ISANTI,MN0300300
JACKSON PD,JACKSON,MN0320100
SHERIFF'S OFFICE,JACKSON,MN0320000
JANESVILLE PD,WASECA,MN0810100
JASPER PD,PIPESTONE,MN0590200
JEFFERS PD,COTTONWOOD,MN0170300
JORDAN PD,SCOTT,MN0700200
KARLSTAD PD,KITTSON,MN0350300
KASSON PD,DODGE,MN0200200
KEEWATIN PD,ITASCA,MN0310400
KELLIHER PD,BELTRAMI,MN0040300
KENSINGTON PD,DOUGLAS,MN0210600
KENYON PD,GOODHUE,MN0250400
KERKHOVEN PD,SWIFT,MN0760300
KETTLE RIVER PD,CARLTON,MN0090300
KIESTER PD,FARIBAULT,MN0220300
KIMBALL PD,STEARNS,MN0731000
KINNEY PD,ST. LOUIS,MN0691600
LA CRESCENT PD,HOUSTON,MN0280300
LA SALLE PD,WATONWAN,MN0830500
LAKE BRONSON PD,KITTSON,MN0350400
LAKE CITY PD,WABASHA,MN0790100
LAKE CRYSTAL PD,BLUE EARTH,MN0070500
LAKE ELMO PD,WASHINGTON,MN0821000
LAKE PARK PD,BECKER,MN0030400
LAKEFIELD PD,JACKSON,MN0320200
LAKESIDE PD,RENVILLE,MN0651200
LAKEVILLE PD,DAKOTA,MN0191100
LAMBERTON PD,REDWOOD,MN0640100
LANCASTER PD,KITTSON,MN0350500
LANDFALL PD,WASHINGTON,MN0821700
LANESBORO PD,FILLMORE,MN0230300
LAUDERDALE PD,RAMSEY,MN0620300
LE CENTER PD,LE SUEUR,MN0400100
SHERIFF'S OFFICE,LE SUEUR,MN0400000
LE ROY PD,MOWER,MN0500500
LE SUEUR PD,LE SUEUR,MN0400200
LESTER PRAIRIE PD,MCLEOD,MN0430400
LEWISTON PD,WINONA,MN0850400
LEWISVILLE PD,WATONWAN,MN0830600
LEXINGTON PD,ANOKA,MN0021100
LILYDALE PD,DAKOTA,MN0191200
LINDSTROM PD,CHISAGO,MN0130400
LINO LAKES PD,ANOKA,MN0020700
LITCHFIELD PD,MEEKER,MN0470100
SHERIFF'S OFFICE,MEEKER,MN0470000
LITTLE CANADA PD,RAMSEY,MN0621100
LITTLE FALLS PD,MORRISON,MN0490100
SHERIFF'S OFFICE,MORRISON,MN0490000
LITTLEFORK PD,KOOCHICHING,MN0360300
LONG PRAIRIE PD,TODD,MN0770100
SHERIFF'S OFFICE,TODD,MN0770000
LONGVILLE PD,CASS,MN0110400
LONSDALE PD,RICE,MN0660400
LUVERNE PD,ROCK,MN0670100
SHERIFF'S OFFICE,ROCK,MN0670000
LYLE PD,MOWER,MN0500600
MABEL PD,FILLMORE,MN0230900
MADELIA PD,WATONWAN,MN0830100
MADISON PD,LAC QUI PARLE,MN0370200
SHERIFF'S OFFICE,LAC QUI PARLE,MN0370000
MAHNOMEN PD,MAHNOMEN,MN0440100
SHERIFF'S OFFICE,MAHNOMEN,MN0440000
MAHTOMEDI PD,WASHINGTON,MN0820300
MANKATO PD,BLUE EARTH,MN0070100
SHERIFF'S OFFICE,BLUE EARTH,MN0070000
SKYLINE PD,BLUE EARTH,MN0070700
HIGHWAY PATROL,N/A,MNMHP1200
NORTH MANKATO PD,NICOLLET,MN0520100
MANTORVILLE PD,DODGE,MN0200500
SHERIFF'S OFFICE,DODGE,MN0200000
MAPLE GROVE PD,HENNEPIN,MN0272700
MAPLE LAKE PD,WRIGHT,MN0860800
MAPLETON PD,BLUE EARTH,MN0070200
MAPLEVIEW PD,MOWER,MN0500700
MAPLEWOOD PD,RAMSEY,MN0620400
MARBLE PD,ITASCA,MN0310800
MARIETTA PD,LAC QUI PARLE,MN0370400
MARSHALL PD,LYON,MN0420100
SHERIFF'S OFFICE,LYON,MN0420000
HIGHWAY PATROL,N/A,MNMHP0300
MAYNARD PD,CHIPPEWA,MN0120300
MAZEPPA PD,WABASHA,MN0790500
MCGREGOR PD,AITKIN,MN0010200
MCINTOSH PD,POLK,MN0600700
MEDFORD PD,STEELE,MN0740400
MEDINA PD,HENNEPIN,MN0273000
MELROSE PD,STEARNS,MN0730200
MENDOTA HEIGHTS PD,DAKOTA,MN0190400
MENTOR PD,POLK,MN0600800
MILACA PD,MILLE LACS,MN0480100
SHERIFF'S OFFICE,MILLE LACS,MN0480000
MILAN PD,CHIPPEWA,MN0120400
MILROY PD,REDWOOD,MN0640300
MILTONA PD,DOUGLAS,MN0210700
MINNEAPOLIS-ST. PAUL INTERNATIONAL AIRPORT PD,HENNEPIN,MN0272500
MINNEAPOLIS PD,HENNEPIN,MN0271100
BLAINE PD,ANOKA,MN0020200
COLUMBIA HEIGHTS PD,ANOKA,MN0020400
FRIDLEY PD,ANOKA,MN0020600
SPRING LAKE PARK PD,ANOKA,MN0020800
BROOKLYN PARK PD,HENNEPIN,MN0270300
PLYMOUTH PD,HENNEPIN,MN0271700
SHERIFF'S OFFICE,HENNEPIN,MN0270000
ST. LOUIS PARK PD,HENNEPIN,MN0272100
ST. ANTHONY PD,HENNEPIN,MN0272000
UNIVERSITY OF MINNESOTA PD,HENNEPIN,MN0272400
VETERANS ADMINISTRATION,N/A,MNVA00100
MINNEOTA PD,LYON,MN0420300
MINNESOTA BUREAU OF CRIMINAL APPREHENSION,N/A,MNBCA0000
MINNESOTA DEPARTMENT OF CORRECTIONS,N/A,MNDOC0000
MINNESOTA DEPARTMENT OF CONSERVATION,N/A,MNCON0000
MINNESOTA HIGHWAY PATROL CENTRAL OFFICE,N/A,MNMHP0000
MINNESOTA LAKE PD,FARIBAULT,MN0221000
MINNESOTA MOTOR VEHICLE SERVICES DIVISION,RAMSEY,MN0621600
MINNESTRISTA PD,HENNEPIN,MN0272800
MINNETONKA BEACH PD,HENNEPIN,MN0273600
MINNETONKA PD,HENNEPIN,MN0271200
MONTEVIDEO PD,CHIPPEWA,MN0120200
SHERIFF'S OFFICE,CHIPPEWA,MN0120000
MONTGOMERY PD,LE SUEUR,MN0400300
MONTICELLO PD,WRIGHT,MN0860500
MONTROSE PD,WRIGHT,MN0860900
MOORHEAD PD,CLAY,MN0140400
SHERIFF'S OFFICE,CLAY,MN0140000
MOOSE LAKE PD,CARLTON,MN0090200
MORA PD,KANABEC,MN0330100
SHERIFF'S OFFICE,KANABEC,MN0330000
MORGAN PD,REDWOOD,MN0640400
MORRIS PD,STEVENS,MN0750100
SHERIFF'S OFFICE,STEVENS,MN0750000
MORRISTOWN PD,RICE,MN0660500
MORTON PD,RENVILLE,MN0650900
MOUND PD,HENNEPIN,MN0271300
MINNESTRISTA PD,HENNEPIN,MN0272800
MOUNDS VIEW PD,RAMSEY,MN0620500
MOUNTAIN IRON PD,ST. LOUIS,MN0691200
MOUNTAIN LAKE PD,COTTONWOOD,MN0170100
NASHWAUK PD,ITASCA,MN0310500
NERSTRAND PD,RICE,MN0660600
NEVIS PD,HUBBARD,MN0290300
NEW BRIGHTON PD,RAMSEY,MN0620600
LEXINGTON PD,ANOKA,MN0021100
NEW HOPE PD,HENNEPIN,MN0271400
NEW LONDON PD,KANDIYOHI,MN0340300
NEW PRAGUE PD,SCOTT,MN0700300
NEW RICHLAND PD,WASECA,MN0810200
NEW ULM PD,BROWN,MN0080100
SHERIFF'S OFFICE,BROWN,MN0080000
NEW YORK MILLS PD,OTTER TAIL,MN0560700
NEWPORT PD,WASHINGTON,MN0820400
NISSWA PD,CROW WING,MN0181000
NORTH BRANCH PD,CHISAGO,MN0130500
NORTH MANKATO PD,NICOLLET,MN0520100
NORTH OAKS PD,RAMSEY,MN0621500
BECHYN PD,RENVILLE,MN0651100
NORTH ST. PAUL PD,RAMSEY,MN0620700
NORTHFIELD PD,RICE,MN0660200
OAK PARK HEIGHTS PD,WASHINGTON,MN0821400
OAKDALE PD,WASHINGTON,MN0820800
ODIN PD,WATONWAN,MN0830700
OGEMA PD,BECKER,MN0030500
OLIVIA PD,RENVILLE,MN0650300
SHERIFF'S OFFICE,RENVILLE,MN0650000
ORONO PD,HENNEPIN,MN0271500
